//X,Y,Z,Normal change rate (0.005448)
-0.03687200,0.12772700,0.00440925,0.001141
-0.04536070,0.12885401,0.00114541,0.013255
-0.06900690,0.15161200,0.03660180,0.003897
-0.00141056,0.13045700,0.02185480,0.000570
-0.02196150,0.12688001,0.00739049,0.000149
-0.02499370,0.12606800,0.00744882,0.001064
-0.03695230,0.12729800,0.00112590,0.001469
0.03321070,0.11270700,0.02768270,0.001204
0.03766310,0.11033500,0.01594800,0.000304
-0.02453370,0.11331600,0.03663550,0.000964
0.02738340,0.12145300,0.02178160,0.000880
-0.06296210,0.15763600,-0.01634960,0.009281
0.03980560,0.10488500,0.02216480,0.000861
0.04535370,0.09250380,0.01016150,0.000619
-0.03321880,0.17460600,-0.00215890,0.049483
-0.08015780,0.13569100,0.05023760,0.008039
-0.07199420,0.12602000,0.05284280,0.015928
-0.08145600,0.13679400,0.04876510,0.003356
0.00723942,0.13145299,0.01591150,0.000945
0.03969680,0.10747200,0.00738523,0.000483
0.03675060,0.09894330,-0.01049080,0.001663
-0.09046170,0.13993700,0.02217660,0.007533
-0.08419420,0.10967300,0.02536180,0.037514
-0.06908310,0.15629300,0.01590630,0.000170
-0.08387200,0.15211999,0.02826520,0.003258
0.00443259,0.12602800,0.03144660,0.002669
0.01000590,0.12411000,0.03299280,0.002262
-0.03092600,0.12569600,0.00468602,0.003050
-0.04985930,0.14218301,0.01272210,0.007344
-0.07749050,0.13585199,0.05072420,0.010882
-0.00408713,0.12831999,0.02780470,0.002061
-0.04510110,0.12260600,0.02555570,0.063154
-0.07855190,0.09284570,-0.01110460,0.003468
0.02418150,0.12390700,0.02215410,0.002324
-0.08980560,0.12197300,0.00430305,0.001830
0.04034330,0.10217500,-0.00199417,0.003012
0.04122400,0.10138900,-0.00081444,0.003075
-0.08678530,0.11656100,0.00146211,0.002516
-0.03312740,0.17700200,-0.00483795,0.110772
-0.07783730,0.14581101,0.04285380,0.002995
-0.02200990,0.11267300,0.03864620,0.002311
-0.01988240,0.17763200,-0.02300660,0.135315
-0.03720050,0.16892301,-0.01325410,0.003771
-0.03105790,0.12597901,0.00721728,0.002345
0.01043900,0.12766400,0.02807890,0.001572
-0.04651330,0.13321900,0.01670010,0.000796
-0.02529810,0.12565300,0.00442121,0.000927
0.01682970,0.12254000,0.03107360,0.004219
0.01924400,0.12228400,0.03083140,0.002675
0.03423110,0.11096400,0.02791820,0.001679
0.03195570,0.11381100,0.02838760,0.001306
-0.04001890,0.16599600,0.00339250,0.036219
-0.08928930,0.13087800,0.00424351,0.001789
-0.05331210,0.14252400,0.02559830,0.001989
0.04309500,0.09800720,0.01916170,0.000429
0.04266870,0.10149700,0.01016170,0.000324
0.04078020,0.09573870,0.02846340,0.000897
-0.05489520,0.15417901,0.01614840,0.021336
-0.02417010,0.15690100,-0.00426647,0.032352
-0.06929310,0.14598501,0.04239090,0.013660
-0.07252010,0.14211801,0.04625270,0.006080
-0.06939450,0.06256900,0.01951980,0.003291
-0.08999820,0.11927700,0.00430267,0.006934
-0.07549280,0.12815000,0.05303340,0.012798
-0.06352660,0.16048300,-0.01911440,0.005029
-0.03481360,0.12674800,0.00215717,0.000956
-0.04650560,0.13345399,0.01375950,0.001910
-0.06899530,0.15536800,0.00430789,0.007042
-0.09213280,0.11653600,0.03948890,0.009596
0.00690276,0.12600300,0.03125900,0.001528
0.00710067,0.12426300,0.03343060,0.002904
-0.03285780,0.12629800,0.00387463,0.002324
-0.06301170,0.15598300,0.01323220,0.001267
0.03041100,0.11623600,0.02764630,0.001193
-0.03056210,0.17508700,-0.00437059,0.090045
0.03975050,0.09558790,-0.00741681,0.005482
-0.07156840,0.16504399,-0.01673930,0.028126
-0.00799605,0.12241700,0.03512500,0.002650
0.02895200,0.09225380,0.04376020,0.005837
-0.01301040,0.16316999,-0.01310910,0.116267
-0.04268720,0.16618800,0.00402625,0.049859
-0.03095070,0.12505201,0.00157641,0.003009
-0.04267640,0.16925000,0.00161729,0.040222
-0.01930500,0.11325400,0.03893680,0.001092
-0.09065280,0.13457900,0.02241730,0.011894
-0.07825010,0.17195600,-0.03994650,0.113777
-0.07750010,0.12815200,0.05326810,0.011383
-0.08600830,0.10421300,0.00438830,0.000761
-0.05028270,0.14268599,0.01405630,0.005776
0.03685260,0.11033200,0.02227270,0.000785
0.03121050,0.10167000,0.03739920,0.001145
