//X,Y,Z,Normal_change_rate_(0.006)
0.032643,0.0561475,-0.0499583,0.240303
0.0325168,0.0580135,-0.050051,0.192485
0.030805,0.0559782,-0.0499123,0.200513
0.0312899,0.0574837,-0.0497482,0.211012
0.0343362,0.0580692,-0.0499246,0.183998
0.0346007,0.0599148,-0.0498238,0.142965
0.0359961,0.0588523,-0.049794,0.130384
0.0361976,0.0604191,-0.0499353,0.116434
0.0308585,0.0550769,-0.0485148,0.231928
0.031677,0.0552561,-0.0496375,0.241874
0.0329267,0.0556284,-0.0481759,0.224095
0.0303619,0.0560582,-0.0481834,0.248403
0.0338793,0.0567186,-0.0496572,0.212684
0.0308474,0.0581049,-0.0482902,0.185745
0.0367103,0.0578144,-0.0488681,0.127774
0.0329647,0.0594182,-0.0494039,0.165124
0.0375003,0.0594107,-0.0493334,0.114229
0.0376688,0.0606589,-0.0495502,0.106184
0.0345173,0.0620706,-0.0484581,0.116881
0.0361508,0.0620227,-0.049586,0.099081
0.0376253,0.0620644,-0.049514,0.097785
0.0323336,0.0551474,-0.0484012,0.267336
0.0344879,0.0561226,-0.0482874,0.208126
0.032202,0.059188,-0.0490611,0.159742
0.032702,0.0601405,-0.0484054,0.176879
0.0385767,0.0603705,-0.0485172,0.115814
0.0384772,0.0624001,-0.0484117,0.103555
0.0358346,0.0627583,-0.0490673,0.076564
0.0365762,0.0638393,-0.0484002,0.073568
0.033952,0.0607239,-0.049027,0.129017
0.0360567,0.0567186,-0.0481384,0.165521
0.0382064,0.0582866,-0.0478701,0.121094
0.0351396,0.0635927,-0.0481008,0.1085
0.037788,0.0635826,-0.0481105,0.096014
0.0375884,0.0567402,-0.047545,0.119291
0.0312193,0.059259,-0.0474503,0.172586
0.0332236,0.061327,-0.0477398,0.145579
0.0318369,0.0603892,-0.0464438,0.170074
0.0392829,0.0601393,-0.0466848,0.10357
0.0324799,0.062029,-0.0463695,0.20467
0.0340143,0.0630183,-0.0471257,0.158446
0.0391479,0.0628087,-0.0470461,0.104396
0.0383766,0.0640953,-0.0463708,0.07071
0.0364215,0.0644741,-0.0466403,0.057343
0.0289613,0.0679405,-0.0476481,0.111961
0.030217,0.067925,-0.0476853,0.106542
0.0312634,0.0679253,-0.047315,0.091245
0.0293573,0.0697627,-0.0475111,0.111662
0.0302885,0.069375,-0.0475752,0.110047
0.0306884,0.0701478,-0.0465178,0.094724
0.0327386,0.0568026,-0.0466962,0.222431
0.0346531,0.0563576,-0.0464714,0.175557
0.0380582,0.0567026,-0.0464353,0.099454
0.0310199,0.057945,-0.0470071,0.210995
0.0286996,0.0659479,-0.0470872,0.110115
0.030819,0.065974,-0.047052,0.121095
0.029577,0.06655,-0.0474478,0.094449
0.030347,0.066585,-0.0474242,0.0926
0.027183,0.066305,-0.04701,0.113836
0.0266485,0.0681335,-0.0465813,0.11814
0.0277633,0.0683875,-0.0472036,0.115463
0.0285934,0.0701202,-0.0464745,0.091128
0.0364602,0.0561569,-0.0461731,0.135831
0.0322981,0.0578757,-0.0462367,0.189091
0.0387816,0.0583061,-0.0462139,0.114595
0.03143,0.0593849,-0.0462899,0.182579
0.0396778,0.0609938,-0.046225,0.084937
0.0398466,0.0622202,-0.0459102,0.101534
0.034368,0.0644384,-0.0463667,0.17615
0.0246491,0.066347,-0.0465423,0.135879
0.0326643,0.0660277,-0.0463707,0.166318
0.0322601,0.0680084,-0.0463241,0.076861
0.0326272,0.0641616,-0.0462869,0.244976
0.0245862,0.0639861,-0.0462478,0.169014
0.0226992,0.0642709,-0.0461502,0.214656
0.026619,0.0640317,-0.0459611,0.154392
0.0289925,0.0644728,-0.0460582,0.123842
0.0229573,0.0657527,-0.0458622,0.192955
0.0308571,0.0644739,-0.0460694,0.1966
0.0250626,0.0675367,-0.0461399,0.126665
0.0226714,0.0631553,-0.0457831,0.206808
0.027253,0.0694022,-0.0457573,0.10627
0.0318092,0.0695498,-0.0457681,0.074752
0.0215287,0.0638614,-0.0455685,0.215459
0.033754,0.0653616,-0.0455542,0.229143
0.0345529,0.0571529,-0.0448769,0.142193
0.0312833,0.0629428,-0.0455128,0.259444
0.0214448,0.0640347,-0.0446963,0.245366
0.0305443,0.0632288,-0.0454179,0.237455
0.0360753,0.0566455,-0.0449066,0.126029
0.0376655,0.0568372,-0.0449329,0.090914
0.034262,0.0578426,-0.0440238,0.094515
0.0383651,0.058079,-0.044236,0.093841
0.033094,0.0583914,-0.0445238,0.129799
0.039242,0.0595627,-0.0441542,0.103093
0.0320591,0.0599709,-0.0444465,0.164512
0.0314417,0.0611945,-0.0442965,0.236814
0.0397155,0.0605826,-0.0449125,0.131391
0.0404939,0.0621539,-0.0441899,0.113615
0.0306504,0.0621834,-0.0445617,0.230483
0.0226275,0.0630341,-0.0443376,0.21042
0.0244678,0.0629783,-0.0446504,0.237242
0.0211407,0.063129,-0.0441023,0.22392
0.0267253,0.0631287,-0.0445712,0.170986
0.0288843,0.0626983,-0.0442521,0.189886
0.0401606,0.0642655,-0.0442568,0.111246
0.0384389,0.0649314,-0.0448372,0.065671
