//X,Y,Z,Normal change rate (0.006635)
0.03170830,0.05579390,-0.04983600,0.219321
0.03200290,0.05822840,-0.04962010,0.087443
0.03467460,0.05956630,-0.04965140,0.192338
0.03118470,0.05542750,-0.04836650,0.151369
0.03477120,0.05634750,-0.04697840,0.177257
0.03387930,0.05671860,-0.04965720,0.082619
0.03144190,0.05882640,-0.04695300,0.140284
0.03470620,0.05897750,-0.04863680,0.192338
0.03758460,0.06003480,-0.04944180,0.081429
0.03489440,0.06325150,-0.04754740,0.173778
0.03599270,0.06239050,-0.04932670,0.119564
0.03762530,0.06206440,-0.04951400,0.127672
0.03904020,0.05977980,-0.04673720,0.114376
0.03872730,0.06302140,-0.04716990,0.093929
0.03777070,0.05676000,-0.04630440,0.110231
0.03113070,0.06355150,-0.04595240,0.219264
0.03027030,0.06735900,-0.04728430,0.151888
0.03011210,0.06989510,-0.04656790,0.114552
0.02626130,0.06734190,-0.04669540,0.114837
0.03328180,0.06612370,-0.04567080,0.156559
0.02560260,0.06400890,-0.04610440,0.123182
0.02229980,0.06376250,-0.04583390,0.246699
0.02295730,0.06575270,-0.04586220,0.180647
0.02725300,0.06940220,-0.04575730,0.111995
0.03466170,0.05876780,-0.04317840,0.151876
0.02242860,0.06357080,-0.04395630,0.246699
0.03894880,0.05935950,-0.04322280,0.124434
0.03175040,0.06058270,-0.04437150,0.205884
0.03969780,0.06378360,-0.04442800,0.123035
0.03045610,0.06240280,-0.04289460,0.243936
0.02661980,0.06367690,-0.04321010,0.194737
0.03571090,0.06495470,-0.04407150,0.273515
0.02344670,0.06613980,-0.04329400,0.106758
0.03481340,0.06728290,-0.04324940,0.156533
0.02550530,0.06759020,-0.04274380,0.152790
0.02699450,0.07086400,-0.04214780,0.128976
0.03043130,0.07106870,-0.04285720,0.145875
0.03899260,0.06649300,-0.04194960,0.188267
-0.02184890,0.16246000,-0.04290960,0.209112
-0.02608510,0.16191299,-0.04261690,0.119933
-0.02259790,0.16509300,-0.04278960,0.195510
-0.02586460,0.17339100,-0.04287250,0.112556
-0.02321690,0.17417400,-0.04261730,nan
0.04132010,0.06344260,-0.04210950,0.163115
0.03337470,0.06976540,-0.04244880,0.022112
-0.02650780,0.16561000,-0.04226540,0.168524
-0.02464180,0.17555800,-0.04255100,nan
-0.02954020,0.17304599,-0.04180380,0.067719
-0.02591430,0.14993501,-0.04186370,0.124720
-0.02702060,0.15131000,-0.04161310,0.124720
-0.02923350,0.16076700,-0.04140770,0.122809
0.02688890,0.07532910,-0.04161320,0.114352
0.02905550,0.07546210,-0.04154310,0.060648
-0.03021870,0.16640601,-0.04130730,0.116773
0.03619210,0.06009340,-0.04049410,0.161007
0.03858720,0.06071870,-0.03968580,0.146338
0.03498660,0.06234920,-0.03867680,0.168913
0.04235390,0.06303460,-0.03924520,0.150649
0.03105930,0.06393480,-0.03942500,0.113989
0.04282510,0.06741100,-0.03923370,0.075334
0.02631710,0.06789120,-0.03916540,0.196146
0.03449460,0.07102390,-0.03919440,0.008186
0.02660930,0.07707860,-0.03899600,0.062252
-0.02612320,0.14963400,-0.03908050,0.157817
-0.02343020,0.15017800,-0.04117180,0.128449
-0.02437380,0.15121301,-0.04051040,0.124720
-0.03005980,0.15735000,-0.03979800,0.115682
