//X Y Z Normal_change_rate_(0.006)
22998
0.03264300 0.05614750 -0.04995830 0.240303
0.03251680 0.05801350 -0.05005100 0.192485
0.03080500 0.05597820 -0.04991230 0.200513
0.03128990 0.05748370 -0.04974820 0.211012
0.03433620 0.05806920 -0.04992460 0.183998
0.03460070 0.05991480 -0.04982380 0.142965
0.03599610 0.05885230 -0.04979400 0.130384
0.03619760 0.06041910 -0.04993530 0.116434
0.03085850 0.05507690 -0.04851480 0.231928
0.03167700 0.05525610 -0.04963750 0.241874
0.03292670 0.05562840 -0.04817590 0.224095
0.03036190 0.05605820 -0.04818340 0.248403
0.03387930 0.05671860 -0.04965720 0.212684
0.03084740 0.05810490 -0.04829020 0.185745
0.03671030 0.05781440 -0.04886810 0.127774
0.03296470 0.05941820 -0.04940390 0.165124
0.03750030 0.05941070 -0.04933340 0.114229
0.03766880 0.06065890 -0.04955020 0.106184
0.03451730 0.06207060 -0.04845810 0.116881
0.03615080 0.06202270 -0.04958600 0.099081
0.03762530 0.06206440 -0.04951400 0.097785
0.03233360 0.05514740 -0.04840120 0.267336
0.03448790 0.05612260 -0.04828740 0.208126
0.03220200 0.05918800 -0.04906110 0.159742
0.03270200 0.06014050 -0.04840540 0.176879
0.03857670 0.06037050 -0.04851720 0.115814
0.03847720 0.06240010 -0.04841170 0.103555
0.03583460 0.06275830 -0.04906730 0.076564
0.03657620 0.06383930 -0.04840020 0.073568
0.03395200 0.06072390 -0.04902700 0.129017
0.03605670 0.05671860 -0.04813840 0.165521
0.03820640 0.05828660 -0.04787010 0.121094
0.03513960 0.06359270 -0.04810080 0.108500
0.03778800 0.06358260 -0.04811050 0.096014
0.03758840 0.05674020 -0.04754500 0.119291
0.03121930 0.05925900 -0.04745030 0.172586
0.03322360 0.06132700 -0.04773980 0.145579
0.03183690 0.06038920 -0.04644380 0.170074
0.03928290 0.06013930 -0.04668480 0.103570
0.03247990 0.06202900 -0.04636950 0.204670
0.03401430 0.06301830 -0.04712570 0.158446
0.03914790 0.06280870 -0.04704610 0.104396
0.03837660 0.06409530 -0.04637080 0.070710
0.03642150 0.06447410 -0.04664030 0.057343
0.02896130 0.06794050 -0.04764810 0.111961
0.03021700 0.06792500 -0.04768530 0.106542
0.03126340 0.06792530 -0.04731500 0.091245
0.02935730 0.06976270 -0.04751110 0.111662
0.03028850 0.06937500 -0.04757520 0.110047
0.03068840 0.07014780 -0.04651780 0.094724
0.03273860 0.05680260 -0.04669620 0.222431
0.03465310 0.05635760 -0.04647140 0.175557
0.03805820 0.05670260 -0.04643530 0.099454
0.03101990 0.05794500 -0.04700710 0.210995
0.02869960 0.06594790 -0.04708720 0.110115
0.03081900 0.06597400 -0.04705200 0.121095
0.02957700 0.06655000 -0.04744780 0.094449
0.03034700 0.06658500 -0.04742420 0.092600
0.02718300 0.06630500 -0.04701000 0.113836
0.02664850 0.06813350 -0.04658130 0.118140
0.02776330 0.06838750 -0.04720360 0.115463
0.02859340 0.07012020 -0.04647450 0.091128
0.03646020 0.05615690 -0.04617310 0.135831
0.03229810 0.05787570 -0.04623670 0.189091
0.03878160 0.05830610 -0.04621390 0.114595
0.03143000 0.05938490 -0.04628990 0.182579
0.03967780 0.06099380 -0.04622500 0.084937
0.03984660 0.06222020 -0.04591020 0.101534
0.03436800 0.06443840 -0.04636670 0.176150
0.02464910 0.06634700 -0.04654230 0.135879
0.03266430 0.06602770 -0.04637070 0.166318
0.03226010 0.06800840 -0.04632410 0.076861
0.03262720 0.06416160 -0.04628690 0.244976
0.02458620 0.06398610 -0.04624780 0.169014
0.02269920 0.06427090 -0.04615020 0.214656
0.02661900 0.06403170 -0.04596110 0.154392
0.02899250 0.06447280 -0.04605820 0.123842
0.02295730 0.06575270 -0.04586220 0.192955
0.03085710 0.06447390 -0.04606940 0.196600
0.02506260 0.06753670 -0.04613990 0.126665
0.02267140 0.06315530 -0.04578310 0.206808
0.02725300 0.06940220 -0.04575730 0.106270
0.03180920 0.06954980 -0.04576810 0.074752
0.02152870 0.06386140 -0.04556850 0.215459
0.03375400 0.06536160 -0.04555420 0.229143
0.03455290 0.05715290 -0.04487690 0.142193
0.03128330 0.06294280 -0.04551280 0.259444
0.02144480 0.06403470 -0.04469630 0.245366
0.03054430 0.06322880 -0.04541790 0.237455
0.03607530 0.05664550 -0.04490660 0.126029
0.03766550 0.05683720 -0.04493290 0.090914
0.03426200 0.05784260 -0.04402380 0.094515
0.03836510 0.05807900 -0.04423600 0.093841
0.03309400 0.05839140 -0.04452380 0.129799
0.03924200 0.05956270 -0.04415420 0.103093
0.03205910 0.05997090 -0.04444650 0.164512
0.03144170 0.06119450 -0.04429650 0.236814
0.03971550 0.06058260 -0.04491250 0.131391
0.04049390 0.06215390 -0.04418990 0.113615
0.03065040 0.06218340 -0.04456170 0.230483
0.02262750 0.06303410 -0.04433760 0.210420
0.02446780 0.06297830 -0.04465040 0.237242
0.02114070 0.06312900 -0.04410230 0.223920
0.02672530 0.06312870 -0.04457120 0.170986
0.02888430 0.06269830 -0.04425210 0.189886
0.04016060 0.06426550 -0.04425680 0.111246
0.03843890 0.06493140 -0.04483720 0.065671
0.02234930 0.06430590 -0.04406320 0.195313
0.03479620 0.06493760 -0.04460620 0.273829
0.03615320 0.06483980 -0.04426390 0.205855
0.02292560 0.06628050 -0.04431600 0.192877
0.03427280 0.06610330 -0.04423340 0.236119
0.03342700 0.06698170 -0.04508750 0.112722
0.03317660 0.06839920 -0.04451930 0.067018
0.02456090 0.06758870 -0.04421450 0.149536
0.02594800 0.06855950 -0.04459700 0.123293
0.02706290 0.06941710 -0.04429480 0.116538
0.03225810 0.06987110 -0.04408420 0.042744
0.02863770 0.07055050 -0.04432480 0.128433
0.03095430 0.07070930 -0.04429560 0.069737
0.03849560 0.06537520 -0.04397070 0.073264
0.03389630 0.06769430 -0.04398010 0.052553
-0.02260520 0.16301100 -0.04433530 0.247062
0.03659840 0.05747830 -0.04387670 0.087885
